Date,Zone Name,Population,Zone Area (sq km),Residential houses,Non-Residential houses,Total garbage weight generation (in Mt),No of Containers
6.00,4.00,730376,36.363,185391,67431,82.45,114
6.00,4.00,730376,36.363,185391,67431,82.3,106
6.00,5.00,724304,61.764,221107,94793,82,119
6.00,4.00,730376,36.363,185391,67431,80.53,114
6.00,5.00,724304,61.764,221107,94793,80.28,126
6.00,4.00,730376,36.363,185391,67431,80.22,110
6.00,4.00,730376,36.363,185391,67431,79.39,115
6.00,6.00,373800,111.912,120622,49681,78,91
6.00,4.00,730376,36.363,185391,67431,77.8,114
6.00,4.00,730376,36.363,185391,67431,76.75,118
6.00,5.00,724304,61.764,221107,94793,75,120
6.00,5.00,724304,61.764,221107,94793,74.32,110
6.00,6.00,373800,111.912,120622,49681,73,84
6.00,5.00,724304,61.764,221107,94793,72.08,117
6.00,6.00,373800,111.912,120622,49681,71,86
6.00,6.00,373800,111.912,120622,49681,71,85
6.00,6.00,373800,111.912,120622,49681,68,85
6.00,6.00,373800,111.912,120622,49681,65,80
6.00,6.00,373800,111.912,120622,49681,65,83
6.00,5.00,724304,61.764,221107,94793,64.15,122
6.00,6.00,373800,111.912,120622,49681,64,88
6.00,6.00,373800,111.912,120622,49681,63,82
6.00,6.00,373800,111.912,120622,49681,60,72
6.00,6.00,373800,111.912,120622,49681,60,83
6.00,6.00,373800,111.912,120622,49681,60,79
6.00,6.00,373800,111.912,120622,49681,58,79
6.00,6.00,373800,111.912,120622,49681,57,78
6.00,6.00,373800,111.912,120622,49681,56,86
6.00,5.00,724304,61.764,221107,94793,50.43,115
6.00,6.00,441726,51.279,146604,38579,47.22,87
6.00,6.00,441726,51.279,146604,38579,47.04,91
6.00,6.00,441726,51.279,146604,38579,46.97,87
6.00,6.00,441726,51.279,146604,38579,46.78,87
6.00,6.00,441726,51.279,146604,38579,45.46,90
6.00,6.00,441726,51.279,146604,38579,45.36,87
6.00,6.00,441726,51.279,146604,38579,45.36,87
6.00,6.00,441726,51.279,146604,38579,45.22,88
6.00,6.00,441726,51.279,146604,38579,44.96,87
6.00,6.00,441726,51.279,146604,38579,44.76,87
6.00,6.00,441726,51.279,146604,38579,43.87,87
6.00,6.00,441726,51.279,146604,38579,43.73,88
6.00,6.00,441726,51.279,146604,38579,43.67,89
6.00,6.00,441726,51.279,146604,38579,43.66,91
6.00,6.00,441726,51.279,146604,38579,43.53,87
7.00,2.00,1210009,37.525,260011,96238,249.34,167
7.00,3.00,766058,19.492,205943,70509,214.447,165
7.00,3.00,766058,19.492,205943,70509,197.256,164
7.00,3.00,766058,19.492,205943,70509,171.509,156
7.00,2.00,1210009,37.525,260011,96238,169.57,167
7.00,2.00,1210009,37.525,260011,96238,156.44,168
7.00,2.00,1210009,37.525,260011,96238,152.29,161
7.00,3.00,766058,19.492,205943,70509,152.03,130
7.00,3.00,766058,19.492,205943,70509,149.824,144
7.00,2.00,1210009,37.525,260011,96238,149.77,166
7.00,3.00,766058,19.492,205943,70509,147.793,130
7.00,2.00,1210009,37.525,260011,96238,147.28,177
7.00,3.00,766058,19.492,205943,70509,147.212,133
7.00,2.00,1210009,37.525,260011,96238,144.53,163
7.00,2.00,1210009,37.525,260011,96238,143.79,170
7.00,2.00,1210009,37.525,260011,96238,143.79,170
7.00,3.00,766058,19.492,205943,70509,141.642,126
7.00,2.00,1210009,37.525,260011,96238,141.29,159
7.00,3.00,766058,19.492,205943,70509,139.556,128
7.00,3.00,766058,19.492,205943,70509,138.769,128
7.00,3.00,766058,19.492,205943,70509,138.301,130
7.00,2.00,1210009,37.525,260011,96238,137.49,158
7.00,5.00,724304,61.764,221107,94793,110,124
7.00,4.00,730376,36.363,185391,67431,101.12,110
7.00,5.00,724304,61.764,221107,94793,99,123
7.00,1.00,436963,8.18,108381,84299,97.6,122
7.00,4.00,730376,36.363,185391,67431,96.63,114
7.00,4.00,730376,36.363,185391,67431,95.61,117
7.00,1.00,436963,8.18,108381,84299,95.2,119
7.00,5.00,724304,61.764,221107,94793,95.12,122
7.00,5.00,724304,61.764,221107,94793,95,128
7.00,1.00,436963,8.18,108381,84299,94.4,118
7.00,4.00,730376,36.363,185391,67431,94.18,112
7.00,4.00,730376,36.363,185391,67431,91.39,115
7.00,1.00,436963,8.18,108381,84299,89.6,112
7.00,4.00,730376,36.363,185391,67431,88.81,110
7.00,4.00,730376,36.363,185391,67431,88.69,112
7.00,5.00,724304,61.764,221107,94793,88.18,122
7.00,1.00,436963,8.18,108381,84299,87.2,109
7.00,1.00,436963,8.18,108381,84299,87.2,109
7.00,1.00,436963,8.18,108381,84299,86.4,108
7.00,1.00,436963,8.18,108381,84299,86.4,108
7.00,1.00,436963,8.18,108381,84299,86.4,106
7.00,1.00,436963,8.18,108381,84299,86.4,108
7.00,4.00,730376,36.363,185391,67431,85.57,104
7.00,5.00,724304,61.764,221107,94793,85.27,120
7.00,5.00,724304,61.764,221107,94793,85,122
7.00,1.00,436963,8.18,108381,84299,84.8,106
7.00,5.00,724304,61.764,221107,94793,84.49,123
7.00,5.00,724304,61.764,221107,94793,84.04,124
7.00,5.00,724304,61.764,221107,94793,84,117
7.00,5.00,724304,61.764,221107,94793,83,123
7.00,4.00,730376,36.363,185391,67431,82.55,114
7.00,4.00,730376,36.363,185391,67431,78.11,105
7.00,7.00,373800,111.912,120622,49681,78,85
7.00,4.00,730376,36.363,185391,67431,76.73,112
7.00,7.00,373800,111.912,120622,49681,72,89
7.00,7.00,373800,111.912,120622,49681,71,84
7.00,7.00,373800,111.912,120622,49681,71,90
7.00,7.00,373800,111.912,120622,49681,70,88
7.00,7.00,373800,111.912,120622,49681,66,86
7.00,7.00,373800,111.912,120622,49681,64,90
7.00,7.00,373800,111.912,120622,49681,61,83
7.00,7.00,373800,111.912,120622,49681,61,84
7.00,7.00,373800,111.912,120622,49681,57,82
7.00,6.00,441726,51.279,146604,38579,47.6,88
7.00,6.00,441726,51.279,146604,38579,47.52,87
7.00,6.00,441726,51.279,146604,38579,47.17,90
7.00,6.00,441726,51.279,146604,38579,46.82,87
7.00,6.00,441726,51.279,146604,38579,46.73,87
7.00,6.00,441726,51.279,146604,38579,46.34,88
7.00,6.00,441726,51.279,146604,38579,46.3,87
7.00,6.00,441726,51.279,146604,38579,45.5,87
7.00,6.00,441726,51.279,146604,38579,45.14,87
7.00,7.00,373800,111.912,120622,49681,45,82
7.00,6.00,441726,51.279,146604,38579,44.62,87
7.00,6.00,441726,51.279,146604,38579,44.29,87
